InputID,TargetID,Distance
"666923779","666926792",123.326255983758
"666923779","666927847",354.446549069204
"666923779","666929023",94.842707784369
"666923779","666929656",51.2830508317505
"666923779","666930240",94.5112253221116
"666923779","666931394",387.349227310085
"666923779","666937163",1338.61913557606
"666923779","666938723",889.749060711907
"666923779","666939293",888.16555164477
"666923779","666945914",3013.20766863772
"666923779","666945919",1295.04040927887
"666923779","666947745",3011.4929723942
"666923779","666948490",2157.31799438839
"666923779","666948661",1402.64258429588
"666923779","666948662",1397.19409569738
"666923779","666948954",2843.58280752159
"666923779","666949165",2854.15671018715
"666923779","666949548",1434.6860000227
"666923779","666950274",1426.745326353
"666923779","666950591",2161.00086798265
"666923779","666950945",2049.94892359763
"666923779","666951562",2729.37085479288
"666923779","666952109",2730.40497410894
"666923779","666952474",2551.53475972675
"666923779","666952752",2543.09363956197
"666923779","666952961",2561.05514362131
"666923779","666953352",2549.1410967589
"666923779","666953982",2572.07126357545
"666923779","666954336",2633.42893960881
"666923779","666955147",1417.81341045269
"666923779","666955149",1457.57906598347
"666923779","666955151",1491.71525178889
"666923779","666955894",2594.95997817521
"666923779","666955958",2592.58908652339
"666923779","666956332",2224.58014725251
"666923779","666956461",2595.77205896583
"666923779","666956773",2582.53764009483
"666923779","666957479",2450.14583361144
"666923779","666957677",2435.94123319888
"666923779","666957725",2357.15006594551
"666923779","666959524",1755.37581279959
"666923779","666959526",1736.89369302484
"666923779","666959530",1739.32497174863
"666923779","666959767",1743.43957622279
"666923779","666959967",1643.35739324744
"666923779","666959969",1644.44112339356
"666923779","666959971",1650.68626582174
"666923779","667060693",1708.37446926339
"666923779","667060694",1734.71157631863
"666923779","667060698",1737.82216641524
"666923779","667335780",1384.12614499689
"666923779","667336132",1703.86491734626
"666923779","667336161",1707.83172742554
"666923779","667343595",2668.64631140156
"666923779","667344685",2690.17791614443
"666923779","667350466",2483.86871953243
"666923779","667354884",1888.66773228862
"666923779","667355542",1884.80087116572
"666923779","667356718",1879.79359720858
"666923779","667358222",1764.54962450945
"666923779","667358224",1748.61268680314
"666923779","667358227",1771.29050726581
"666923779","667358269",1782.26770115145
"666923779","667358279",1776.54077922006
"666923779","667358286",1779.90300932564
"666923779","667358312",2038.58300579689
"666923779","667371655",2411.48497550434
"666923779","667371750",2380.98053628058
"666923779","667376973",2466.88162633383
"666923779","667383191",2494.58162946574
"666923779","667388467",2504.77141918149
"666923779","667389618",2485.92875042316
"666923779","667389624",2461.84839603579
"666923779","667389635",2497.09782966458
"666923779","667389659",2474.80978899397
"666923779","667392622",2490.42149071158
"666923779","667402804",1654.67039610886
"666923779","667659931",1550.78405714505
"666923779","667663379",1741.35242146132
"666923779","667663380",2560.10307598163
"666923779","667664209",2481.01837346144
"666923779","667665354",2744.73371529803
"666923779","667668571",2529.89871958614
"666923779","667675675",1733.88820223024
"666923779","667677573",3137.36945242931
"666923779","667687925",2524.76283185185
"666923779","667687927",2511.72480552962
"666923779","667688272",2523.17852583092
"666923779","667689124",2509.62626829141
"666923779","667689307",3914.86816895453
"666923779","667689598",3856.50143143522
"666923779","667690110",3860.01846851505
"666923779","667690468",2509.54331347807
"666923779","667697378",2543.53312768357
"666923779","667698091",2540.68830803569
"666923779","667698424",3491.96720923007
"666923779","667700228",2540.42302390781
"666923779","667701627",2544.1410642297
"666923779","667714420",2543.38071702162
"666923779","667714462",2536.89544892079
"666923779","667717170",1259.76527683298
"666923779","667720360",2532.0362035444
"666923779","667722493",2818.22212874996
"666923779","667723891",2820.99395581564
"666923779","667725123",2564.07819738742
"666923779","667725355",3195.12338836926
"666923779","667741076",2965.17744573186
"666923779","667743542",2939.95649666339
"666923779","667744050",2988.6191282824
"666923779","667744927",3170.00506844957
"666923779","667745535",3393.02524070121
"666923779","669397156",6703.39040844323
"666923779","669409767",1223.62348684511
"666923779","669409787",5278.57474786869
"666923779","669409830",5292.48579334919
"666923779","669410890",5216.14895704001
"666923779","669410892",5279.98453582184
"666923779","669411095",5223.12020004971
"666923779","669412919",5124.99173351789
"666923779","669423439",5202.10105150667
"666923779","669423454",5101.31702562713
"666923779","669423460",5125.31342278712
"666923779","669423470",5138.07089053094
"666923779","669423616",5285.60741509997
"666923779","669424424",2317.00021079993
"666923779","669426417",2925.30650229735
"666923779","669430979",3337.31561405302
"666923779","669439598",3918.67327332669
"666923779","669440897",3879.58710593047
"666923779","669692455",5038.66738030287
"666923779","669697548",5001.04983677644
"666923779","669704358",4433.5394960802
"666923779","669758928",3930.10178727827
"666923779","672455143",3278.11142480624
"666923779","672460202",4007.48318645681
"666923779","672464412",3793.48753732926
"666923779","672466314",4138.94852917049
"666923779","672478029",4933.64394845974
"666923779","672481510",4336.01395673266
"666923779","672486266",5685.10095024621
"666923779","672486865",5691.62486314807
"666923779","672488155",4395.52793281349
"666923779","672490788",5749.01062483173
"666923779","672491393",5812.47334686027
"666923779","672651369",4144.84633929301
"666923779","672748713",5016.54911477593
"666923779","672751236",5440.92136281054
"666923779","672752422",5452.38419911865
"666923779","672752428",5451.12009476963
"666923779","672752926",5456.92340122498
"666923779","672759046",5548.51087795376
"666923779","672759176",5546.48965279303
"666923779","672761747",4380.28951397357
"666923779","672763174",5679.87305732316
"666923779","672763805",5687.36163043008
"666923779","672764150",5697.26020211271
"666923779","672765492",4323.10815056276
"666923779","672766052",5776.1694305501
"666923779","672766266",5289.52041886945
"666923779","672766286",5784.7483851916
"666923779","672766562",5788.81321546203
"666923779","672768253",5741.39650981237
"666923779","672772063",5683.29331383622
"666923779","672772399",5680.24288016879
