InputID,TargetID,Distance
"672806210","672806186",226.041980725363
"672806210","670051829",1293.31818667468
"672806210","670040317",1631.61440883002
"672806210","670051793",1338.27297549842
"672806210","670040308",1517.73206702365
"672806210","670034259",1656.5593758757
"672806210","670034269",1682.11111913808
"672806210","670040305",1549.41234552309
"672806210","670028888",1716.29318292553
"672806210","672457350",844.998910662043
"672806210","672783034",571.101887542477
"672806210","672457354",886.998381129425
"672806210","670028868",1488.26424970552
"672806210","672454564",1039.16714260888
"672806210","670028874",1500.60608496906
"672806210","672817969",711.869633358215
"672806210","672788464",758.309683336753
"672806210","672788490",733.976758403544
"672806210","672779835",705.713943794143
"672806210","672817975",787.623627710809
"672806210","672788488",759.548151181006
"672806210","670024068",1568.20530240407
"672806210","672477327",1293.93537225958
"672806210","672764505",725.877694222583
"672806210","672438345",966.883930397348
"672806210","670016637",1746.46034791787
"672806210","672764522",753.386357609118
"672806210","670012120",1738.99559880659
"672806210","670012123",1761.16484645001
"672806210","670012114",1703.67975180977
"672806210","670012125",1775.05892845303
"672806210","672788468",878.827367933562
"672806210","672775451",845.422663929812
"672806210","672451099",1296.56464799444
"672806210","672760041",1000.2998150819
"672806210","672760037",1007.26902763355
"672806210","672752450",1080.05693278262
"672806210","672752459",1033.96621720408
"672806210","672760049",1048.22677650852
"672806210","672538007",4455.15240546115
"672806210","672537983",4440.0662309494
"672806210","672537980",4439.62832247965
"672806210","672537974",4415.81623255857
"672806210","672751202",4461.22126670597
"672806210","672537957",4325.69663429558
"672806210","672537948",4222.10631271801
"672806210","672751143",4264.82095332242
"672806210","672751157",4167.28662905945
"672806210","672537903",3940.83428287322
"672806210","672537932",4013.25276678783
"672806210","672537918",3988.83376899021
"672806210","672751174",4035.43692420017
"672806210","672537925",4020.96101484853
"672806210","672537874",3765.19689931048
"672806210","672759165",3889.23904272988
"672806210","672495503",3830.60477192689
"672806210","672504715",3735.77074313712
"672806210","672504701",3712.60187434131
"672806210","672504710",3635.63483567504
"672806210","672504709",3642.66304164395
"672806210","672504705",3638.86097778901
"672806210","672452507",3796.80972361512
"672806210","672471912",3449.65024998832
"672806210","672482383",3484.63569761949
"672806210","672482378",3444.45383424706
"672806210","672482398",3491.35344049935
"672806210","672471888",3279.58295295296
"672806210","672467964",3272.59119932864
"672806210","672482362",3443.68104039766
"672806210","672444980",3687.6354758408
"672806210","672452528",3600.38477258161
"672806210","672452540",3566.80948817524
"672806210","672467986",3528.269809413
"672806210","672467971",3557.10794650541
"672806210","672467978",3550.41499478631
"672806210","672467973",3550.41499478631
"672806210","672467950",3381.21192217493
"672806210","672467956",3375.84489590644
"672806210","673416091",3511.28906214672
"672806210","673415218",3478.61766437792
"672806210","673426079",3497.67726911651
"672806210","673426067",3484.72683785667
"672806210","674077258",3746.76961338154
"672806210","674077261",3738.96623233577
"672806210","673415209",3409.37229345633
"672806210","673516876",3389.54393609216
"672806210","673415251",3269.48246469657
"672806210","673415246",3273.95719795771
"672806210","674077270",3635.99233485271
"672806210","674077275",3483.27877115321
"672806210","673516911",3363.93105424086
"672806210","673415245",3219.12970835901
"672806210","673415238",3231.23303573698
"672806210","673516880",3224.32446431383
"672806210","674077276",3446.14522772421
"672806210","674061578",3551.58305395804
"672806210","674281270",3304.82612274548
"672806210","674281268",3302.39421657344
"672806210","673516891",3215.0979402707
"672806210","673386073",2947.56121963831
"672806210","673386081",2900.60693062072
"672806210","673386079",2889.72447701723
"672806210","673393441",2931.72141515554
"672806210","674077250",3187.39341754784
"672806210","673516909",3161.4525839779
"672806210","673516907",3159.39423208495
"672806210","673516902",3139.12465245767
"672806210","673516828",3141.17448891201
"672806210","673516933",3028.13175506269
"672806210","673516916",3058.63105615199
"672806210","673516814",3049.86059820787
"672806210","673516928",3033.87326141405
"672806210","673415230",2950.71816661086
"672806210","673516809",2976.65410609937
"672806210","673415234",2971.74350181542
"672806210","673415224",2933.50672412856
"672806210","673516920",3024.55789875483
"672806210","673393465",2872.67371748842
"672806210","673393466",2878.68305297897
"672806210","673393464",2841.25701255245
"672806210","673393447",2792.47474155816
"672806210","673393452",2743.14926055341
"672806210","673393451",2740.20750917723
"672806210","674300509",3114.48811453848
"672806210","674300501",3161.47103959211
"672806210","674300505",3070.6455330641
"672806210","673516841",2976.74429369396
"672806210","673516848",2957.2346085026
"672806210","673516854",2834.85034143874
"672806210","673516866",2660.95752126257
"672806210","674300512",2924.96684619629
"672806210","674053426",2870.93826203373
"672806210","674053409",2883.45451328582
"672806210","674053401",2879.80024233141
"672806210","674010172",2531.79802823995
"672806210","674053430",2770.5318859557
"672806210","674281295",3014.89657151001
"672806210","674053394",2749.0982441518
"672806210","674300526",2750.57439747124
"672806210","674031542",2551.42862996046
"672806210","674053391",2612.38982580225
"672806210","672811654",2675.02239866557
"672806210","672811658",2656.67098763128
"672806210","674300520",2761.40485982175
"672806210","674281290",2835.84887839602
"672806210","674281289",2907.61864555302
"672806210","672861011",2844.08864111441
"672806210","672803111",2731.94621796573
"672806210","674031534",2412.03817497907
"672806210","673140777",2480.50725048949
"672806210","674031541",2431.0243577911
"672806210","673140778",2448.41562235816
